Date,Price
11-Aug-17,3431
10-Aug-17,3407.9
9-Aug-17,3339.9
8-Aug-17,3415
7-Aug-17,3396.7
6-Aug-17,3227.9
5-Aug-17,3256.4
4-Aug-17,2860
3-Aug-17,2790.3
2-Aug-17,2702
1-Aug-17,2731.2
31-Jul-17,2856
30-Jul-17,2749
29-Jul-17,2714.1
28-Jul-17,2784.8
27-Jul-17,2664.9
26-Jul-17,2525.7
25-Jul-17,2560.9
24-Jul-17,2769.7
23-Jul-17,2747.5
22-Jul-17,2845.7
21-Jul-17,2664
20-Jul-17,2856.3
19-Jul-17,2253.1
18-Jul-17,2302.1
17-Jul-17,2219
16-Jul-17,1924.9
15-Jul-17,1978.6
14-Jul-17,2205.1
13-Jul-17,2329
12-Jul-17,2374.4
11-Jul-17,2282.1
10-Jul-17,2318.3
9-Jul-17,2478
8-Jul-17,2542
7-Jul-17,2479.3
6-Jul-17,2593.1
5-Jul-17,2598.5
4-Jul-17,2582.6
3-Jul-17,2524
2-Jul-17,2445
1-Jul-17,2349.5
30-Jun-17,2420.7
29-Jun-17,2470.1
28-Jun-17,2518.2
27-Jun-17,2521.2
26-Jun-17,2394.6
25-Jun-17,2477.7
24-Jun-17,2502.6
23-Jun-17,2674.9
22-Jun-17,2672.8
21-Jun-17,2621.2
20-Jun-17,2712.2
19-Jun-17,2580.8
18-Jun-17,2491.5
17-Jun-17,2610
16-Jun-17,2437
15-Jun-17,2377.4
14-Jun-17,2395
13-Jun-17,2676.4
12-Jun-17,2571.8
11-Jun-17,2936.3
10-Jun-17,2806
9-Jun-17,2809
8-Jun-17,2782.1
7-Jun-17,2642.6
6-Jun-17,2843.6
5-Jun-17,2636.2
4-Jun-17,2488.2
3-Jun-17,2461
2-Jun-17,2405.9
1-Jun-17,2311.6
31-May-17,2191.8
30-May-17,2146.7
29-May-17,2207.4
28-May-17,2056.6
27-May-17,1972.3
26-May-17,2127.3
25-May-17,2252
24-May-17,2394.8
23-May-17,2249.3
22-May-17,2085.5
21-May-17,2029.2
20-May-17,2059.7
19-May-17,1966.5
18-May-17,1941.5
17-May-17,1870
16-May-17,1785.7
15-May-17,1772.5
14-May-17,1828.1
13-May-17,1820.4
12-May-17,1735
11-May-17,1853.9
